NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
900128900,arquint colombia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","7,111",servicios,0.07,0.0,0.02,0.02,0.01,2023
811028567,punto cardinal de oriente sas,supersociedades,antioquia,antioquia,rionegro-antioquia-antioquia,"4,620",comercio,0.07,0.0,0.03,0.01,0.01,2023
900059251,nutricion experta de colombia sas,supersociedades,eje cafetero,quindio,armenia-quindio-quindio,"1,090",manufactura,0.07,0.01,0.03,0.02,0.02,2023
890807529,industrias normandy sa,supersociedades,eje cafetero,caldas,manizales-caldas-caldas,"1,040",manufactura,0.07,0.0,0.03,0.01,0.02,2023
900174560,alianza oriental sa,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","1,031",manufactura,0.07,0.0,0.02,0.01,0.01,2023
860038626,avicultura industrial avinsa sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.",145,agropecuario,0.07,0.0,0.05,0.02,0.02,2023
900478741,distrisantander s.a.s.,supersociedades,costa atlántica,atlantico,soledad-atlantico-atlantico,"4,631",comercio,0.07,0.0,0.01,0.01,0.01,2023
860012340,fraco s.a.,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","2,930",manufactura,0.07,0.02,0.11,0.02,0.08,2023
890982264,empresa social del estado hospital san juan de dios,supersalud,antioquia,antioquia,santafe de antioquia-antioquia,"8,610",servicios,0.07,0.0,0.05,0.03,0.02,2023
890301067,transportadora la prensa del valle s.a.s,supertransporte,costa pacífica,valle,yumbo-valle,"4,923",servicios,0.07,0.0,0.03,0.03,0.01,2023
